timestamp,phase,event,subject,psi,accuracy,model_version,extra_info
2025-12-02T13:25:03.358976,phase2,PSI_OK,Marvel,0.047863236205005,,v1,"conf=1.000, sim=0.478"
2025-12-02T13:25:03.453248,phase2,PSI_OK,Marvel,0.0409044816967031,,v1,"conf=1.000, sim=0.467"
2025-12-02T13:25:03.550017,phase2,PSI_OK,Marvel,0.0374948280870491,,v1,"conf=1.000, sim=0.477"
2025-12-02T13:25:03.650136,phase2,PSI_OK,Marvel,0.035154708435833,,v1,"conf=1.000, sim=0.468"
2025-12-02T13:25:03.745988,phase2,PSI_OK,Marvel,0.0316264608284113,,v1,"conf=1.000, sim=0.446"
2025-12-02T13:25:03.832763,phase2,PSI_OK,Marvel,0.0279393804418057,,v1,"conf=1.000, sim=0.502"
2025-12-02T13:25:03.923633,phase2,PSI_OK,Marvel,0.0268298202333907,,v1,"conf=1.000, sim=0.520"
2025-12-02T13:25:04.020383,phase2,PSI_OK,Marvel,0.0236017399923756,,v1,"conf=1.000, sim=0.453"
2025-12-02T13:25:04.113416,phase2,PSI_OK,Marvel,0.021085767451408,,v1,"conf=1.000, sim=0.461"
2025-12-02T13:25:04.203788,phase2,PSI_OK,Marvel,0.0210158384259899,,v1,"conf=1.000, sim=0.465"
2025-12-02T13:25:04.310024,phase2,PSI_OK,Marvel,0.0215540292154346,,v1,"conf=1.000, sim=0.461"
2025-12-02T13:25:04.418943,phase2,PSI_OK,Marvel,0.0186152707762021,,v1,"conf=1.000, sim=0.469"
2025-12-02T13:25:04.510838,phase2,PSI_OK,Marvel,0.0165741489669353,,v1,"conf=1.000, sim=0.476"
2025-12-02T13:25:04.610208,phase2,PSI_OK,Marvel,0.0159837641795388,,v1,"conf=1.000, sim=0.502"
2025-12-02T13:25:04.693672,phase2,PSI_OK,Marvel,0.0156456977523122,,v1,"conf=1.000, sim=0.470"
2025-12-02T13:25:04.781108,phase2,PSI_OK,Marvel,0.0149167701066005,,v1,"conf=1.000, sim=0.484"
2025-12-02T13:25:04.875084,phase2,PSI_OK,Marvel,0.0149326943050386,,v1,"conf=1.000, sim=0.471"
2025-12-02T13:25:04.971690,phase2,PSI_OK,Marvel,0.017010989790936,,v1,"conf=1.000, sim=0.472"
2025-12-02T13:25:05.060969,phase2,PSI_OK,Marvel,0.0173114553133043,,v1,"conf=1.000, sim=0.463"
2025-12-02T13:25:05.161452,phase2,PSI_OK,Marvel,0.0168717152225094,,v1,"conf=1.000, sim=0.486"
2025-12-02T13:25:05.270562,phase2,PSI_OK,Marvel,0.0172292724085653,,v1,"conf=1.000, sim=0.489"
2025-12-02T13:25:05.360885,phase2,PSI_OK,Marvel,0.0173267078610606,,v1,"conf=1.000, sim=0.468"
2025-12-02T13:25:05.454840,phase2,PSI_OK,Marvel,0.0164627874950536,,v1,"conf=1.000, sim=0.480"
2025-12-02T13:25:05.547685,phase2,PSI_OK,Marvel,0.0156527376977686,,v1,"conf=1.000, sim=0.487"
2025-12-02T13:25:05.645876,phase2,PSI_OK,Marvel,0.0148083819525343,,v1,"conf=1.000, sim=0.494"
2025-12-02T13:25:05.735443,phase2,PSI_OK,Marvel,0.0143626439223728,,v1,"conf=1.000, sim=0.500"
2025-12-02T13:25:05.830040,phase2,PSI_OK,Marvel,0.0133843733907665,,v1,"conf=1.000, sim=0.519"
2025-12-02T13:25:05.918711,phase2,PSI_OK,Marvel,0.0133810215105145,,v1,"conf=1.000, sim=0.506"
2025-12-02T13:25:06.017524,phase2,PSI_OK,Marvel,0.0133849127790962,,v1,"conf=1.000, sim=0.518"
2025-12-02T13:25:06.114892,phase2,PSI_OK,Marvel,0.0130051506468203,,v1,"conf=1.000, sim=0.533"
2025-12-02T13:25:06.202687,phase2,PSI_OK,Marvel,0.01165964347339,,v1,"conf=1.000, sim=0.418"
2025-12-02T13:25:06.293175,phase2,PSI_OK,Marvel,0.011008052603096,,v1,"conf=1.000, sim=0.395"
2025-12-02T13:25:06.383006,phase2,PSI_OK,Marvel,0.0101317109688211,,v1,"conf=1.000, sim=0.387"
2025-12-02T13:25:06.468179,phase2,REJECTED_SAMPLE,Marvel,,,v1,"conf=1.000, sim=0.343"
2025-12-02T13:25:06.564415,phase2,REJECTED_SAMPLE,Marvel,,,v1,"conf=1.000, sim=0.327"
2025-12-02T13:25:06.650842,phase2,REJECTED_SAMPLE,Marvel,,,v1,"conf=1.000, sim=0.309"
2025-12-02T13:25:06.742036,phase2,REJECTED_SAMPLE,Marvel,,,v1,"conf=1.000, sim=0.308"
2025-12-02T13:25:06.826618,phase2,REJECTED_SAMPLE,Marvel,,,v1,"conf=1.000, sim=0.347"
2025-12-02T13:25:06.905998,phase2,REJECTED_SAMPLE,Marvel,,,v1,"conf=1.000, sim=0.347"
2025-12-02T13:25:06.992748,phase2,REJECTED_SAMPLE,Marvel,,,v1,"conf=1.000, sim=0.294"
2025-12-02T13:25:07.069879,phase2,REJECTED_SAMPLE,Marvel,,,v1,"conf=1.000, sim=0.299"
2025-12-02T13:25:07.160649,phase2,REJECTED_SAMPLE,Marvel,,,v1,"conf=1.000, sim=0.295"
2025-12-02T13:25:07.251047,phase2,PSI_OK,Marvel,0.0094193041481251,,v1,"conf=1.000, sim=0.436"
2025-12-02T13:25:07.343517,phase2,PSI_OK,Marvel,0.008977152114978,,v1,"conf=1.000, sim=0.476"
2025-12-02T13:25:07.433246,phase2,PSI_OK,Marvel,0.0098170503087172,,v1,"conf=1.000, sim=0.473"
2025-12-02T13:25:07.518481,phase2,PSI_OK,Marvel,0.0109309259601694,,v1,"conf=1.000, sim=0.463"
2025-12-02T13:25:07.613027,phase2,PSI_OK,Marvel,0.0127532610917594,,v1,"conf=1.000, sim=0.498"
2025-12-02T13:25:07.707762,phase2,PSI_OK,Marvel,0.0147983343388529,,v1,"conf=1.000, sim=0.466"
2025-12-02T13:25:07.793020,phase2,PSI_OK,Marvel,0.0163173603143874,,v1,"conf=1.000, sim=0.470"
2025-12-02T13:25:07.878249,phase2,PSI_OK,Marvel,0.0182392818220188,,v1,"conf=1.000, sim=0.438"
2025-12-02T13:25:07.967489,phase2,PSI_OK,Marvel,0.0205584697514558,,v1,"conf=1.000, sim=0.466"
2025-12-02T13:25:08.072175,phase2,PSI_OK,Marvel,0.0231621832300436,,v1,"conf=1.000, sim=0.496"
2025-12-02T13:25:08.167173,phase2,PSI_OK,Marvel,0.0273237288836176,,v1,"conf=1.000, sim=0.453"
2025-12-02T13:25:08.314375,phase2,PSI_OK,Marvel,0.030103897816055,,v1,"conf=1.000, sim=0.422"
2025-12-02T13:25:08.641530,phase2,REJECTED_SAMPLE,Marvel,,,v1,"conf=1.000, sim=0.179"
2025-12-02T13:25:08.723501,phase2,REJECTED_SAMPLE,Marvel,,,v1,"conf=1.000, sim=0.257"
2025-12-02T13:25:08.828051,phase2,REJECTED_SAMPLE,Marvel,,,v1,"conf=1.000, sim=0.334"
2025-12-02T13:25:08.935345,phase2,PSI_OK,Marvel,0.0333260892655951,,v1,"conf=1.000, sim=0.383"
2025-12-02T13:25:09.019478,phase2,PSI_OK,Marvel,0.0394000232866923,,v1,"conf=1.000, sim=0.356"
2025-12-02T13:25:09.111265,phase2,PSI_OK,Marvel,0.0667142830275231,,v1,"conf=1.000, sim=0.351"
2025-12-02T13:25:09.195271,phase2,REJECTED_SAMPLE,Marvel,,,v1,"conf=1.000, sim=0.317"
2025-12-02T13:25:09.271237,phase2,PSI_OK,Marvel,0.0456634310650483,,v1,"conf=1.000, sim=0.374"
2025-12-02T13:25:09.371724,phase2,PSI_OK,Marvel,0.0348812906685466,,v1,"conf=1.000, sim=0.445"
2025-12-02T13:25:09.476774,phase2,PSI_OK,Marvel,0.024784703295156,,v1,"conf=1.000, sim=0.421"
2025-12-02T13:25:09.564053,phase2,PSI_OK,Marvel,0.0177155423221781,,v1,"conf=1.000, sim=0.424"
2025-12-02T13:25:09.654360,phase2,PSI_OK,Marvel,0.0117342283841075,,v1,"conf=1.000, sim=0.432"
2025-12-02T13:25:09.743760,phase2,PSI_OK,Marvel,0.0050713779732452,,v1,"conf=1.000, sim=0.460"
2025-12-02T13:25:09.846163,phase2,PSI_OK,Marvel,0.0036383260047348,,v1,"conf=1.000, sim=0.489"
2025-12-02T13:25:09.935068,phase2,PSI_OK,Marvel,0.0029045064836074,,v1,"conf=1.000, sim=0.552"
2025-12-02T13:25:10.035461,phase2,PSI_OK,Marvel,0.0051271955394033,,v1,"conf=1.000, sim=0.566"
2025-12-02T13:25:10.122171,phase2,PSI_OK,Marvel,0.0073912261253843,,v1,"conf=1.000, sim=0.658"
2025-12-02T13:25:10.208341,phase2,PSI_OK,Marvel,0.0114050205338413,,v1,"conf=1.000, sim=0.641"
2025-12-02T13:25:10.300795,phase2,PSI_OK,Marvel,0.015252741795022,,v1,"conf=1.000, sim=0.654"
2025-12-02T13:25:10.394161,phase2,PSI_OK,Marvel,0.0234988227651319,,v1,"conf=1.000, sim=0.660"
2025-12-02T13:25:10.483521,phase2,PSI_OK,Marvel,0.0311062761367109,,v1,"conf=1.000, sim=0.646"
